iter	Passed	Remaining
865	1406	217
866	1408	216
867	1409	214
868	1410	212
869	1411	210
870	1413	209
871	1414	207
872	1416	206
873	1417	204
874	1418	202
875	1419	201
876	1421	199
877	1422	197
878	1423	195
879	1424	194
880	1425	192
881	1427	190
882	1428	189
883	1430	187
884	1431	186
885	1432	184
886	1433	182
887	1435	180
888	1436	179
889	1437	177
890	1438	175
891	1439	174
892	1441	172
893	1442	171
894	1443	169
895	1445	167
896	1446	166
897	1448	164
898	1449	162
899	1450	161
900	1451	159
901	1453	157
902	1454	156
903	1455	154
904	1456	152
905	1458	151
906	1460	149
907	1462	148
908	1463	146
909	1464	144
910	1465	143
911	1467	141
912	1468	139
913	1469	138
914	1470	136
915	1472	135
916	1473	133
917	1475	131
918	1476	130
919	1478	128
920	1479	126
921	1480	125
922	1481	123
923	1483	121
924	1484	120
925	1485	118
926	1486	117
927	1488	115
928	1490	113
929	1491	112
930	1492	110
931	1494	109
932	1495	107
933	1497	105
934	1498	104
935	1499	102
936	1500	100
937	1501	99
938	1503	97
939	1505	96
940	1506	94
941	1507	92
942	1509	91
943	1510	89
944	1511	87
945	1512	86
946	1514	84
947	1515	83
948	1516	81
949	1519	79
950	1520	78
951	1521	76
952	1523	75
953	1524	73
954	1525	71
955	1527	70
956	1528	68
957	1529	67
958	1531	65
959	1533	63
960	1534	62
961	1535	60
962	1537	59
963	1539	57
964	1540	55
965	1541	54
966	1542	52
967	1544	51
968	1545	49
969	1546	47
970	1548	46
971	1549	44
972	1550	43
973	1552	41
974	1553	39
975	1554	38
976	1555	36
977	1557	35
978	1558	33
979	1559	31
980	1561	30
981	1562	28
982	1564	27
983	1565	25
984	1566	23
985	1568	22
986	1569	20
987	1570	19
988	1572	17
989	1573	15
990	1574	14
991	1575	12
992	1577	11
993	1578	9
994	1579	7
995	1580	6
996	1582	4
997	1583	3
998	1584	1
999	1586	0
